saxo_symbol,yFinance_symbol,description,exchange_id,asset_type,currency,issuer_country,eligibility_status,availability_status,eligible_universe,isa_eligible,instrument_exclusion_flag,market_cap_usd,market_cap_native,market_cap_currency,aum_usd,aum_native,aum_currency,market_cap_source,aum_source,yfinance_fundamentals_status,yfinance_fundamentals_notes,eligibility_review_status,eligibility_review_notes
EMDG:xlon,EMDG.L,L&G EM Govt Bond (USD) 0-5 Year Screened UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=EMDG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
XGIG:xlon,XGIG.L,Xtrackers II Glbl Infl Lnkd Bond GBP Hdg UCITS ETF,LSE_ETF,Etf,GBP,LU,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=XGIG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
IS15:xlon,IS15.L,iShares Corporate Bond 0-5 UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=IS15.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
XGSG:xlon,XGSG.L,Xtrackers Global Government Bond UCITS ETF,LSE_ETF,Etf,GBP,LU,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=XGSG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
EEDG:xlon,EEDG.L,iShares MSCI USA ESG Enhanced CTB UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=EEDG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
EEDS:xlon,EEDS.L,iShares MSCI USA ESG Enhanced CTB UCITS ETF,LSE_ETF,Etf,USD,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=EEDS.L; quoteType=ETF; currency=USD; usd_fx=1,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
IWDG:xlon,IWDG.L,iShares Core MSCI World UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=IWDG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
SJPA:xlon,SJPA.L,iShares Core MSCI Japan IMI UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=SJPA.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
IJPA:xlon,IJPA.L,iShares Core MSCI Japan IMI UCITS ETF,LSE_ETF,Etf,USD,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=IJPA.L; quoteType=ETF; currency=USD; usd_fx=1,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
MEUD:xlon,MEUD.L,Amundi Core Stoxx Europe 600 (Acc) UCITS ETF,LSE_ETF,Etf,GBP,LU,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=MEUD.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
MEUS:xlon,MEUS.L,Amundi Core Stoxx Europe 600 (Acc) UCITS ETF,LSE_ETF,Etf,USD,LU,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=MEUS.L; quoteType=ETF; currency=USD; usd_fx=1,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
XDPG:xlon,XDPG.L,Xtrackers S&P 500 UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=XDPG.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
UKSR:xlon,UKSR.L,UBS MSCI United Kingdom IMI SR UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=UKSR.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
SGSU:xlon,SGSU.L,iShares USD Corp Bond 0-3yr ESG SRI UCITS ETF,LSE_ETF,Etf,GBP,IE,OPERATOR_APPROVED,AVAILABLE,true,true,false,,,,,,,N/A_ETF_USE_AUM,YAHOO_FINANCE_QUOTE_NO_TOTAL_ASSETS,MISSING_AUM,Yahoo quote had no totalAssets; Yahoo symbol=SGSU.L; quoteType=ETF; currency=GBP; usd_fx=1.3349887,NEEDS_AUM_PROVIDER_ENRICHMENT,aum_usd still needs provider enrichment if ETF size policy is introduced; isin still needs OpenFIGI/provider enrichment; Yahoo did not provide totalAssets/aum_usd; no ETF size threshold currently enforced
